Team,Player Name,Player Type, Batting_T20_M, Batting_T20_Inn, Batting_T20_Runs, Batting_T20_BF, Batting_T20_HS, Batting_T20_Avg, Batting_T20_SR, Batting_T20_NO, Batting_T20_4s , Batting_T20_6s, Batting_T20_50, Batting_T20_100, Batting_T20_200, Batting_IPL_M, Batting_IPL_Inn, Batting_IPL_Runs, Batting_IPL_BF, Batting_IPL_HS, Batting_IPL_Avg, Batting_IPL_SR, Batting_IPL_NO, Batting_IPL_4s , Batting_IPL_6s, Batting_IPL_50, Batting_IPL_100, Batting_IPL_200
LSG,David Miller,BAT,130,114,2593,1842,106,33.24,140.78,36,168,130,8,2,0,135,129,3014,2162,101,36.31,139.41,46.0,216.0,137,13,1,0
LSG,Mitchell Marsh,BAT,65,62,1629,1203,92,31.94,135.42,11,139,76,9,0,0,47,41,930,668,89,23.85,139.23,2.0,76.0,53,7,0,0
MI,Bevon Jacobs,BAT,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
MI,Naman Dhir,ALL,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,12,11,232,132,62,25.78,175.76,2.0,21.0,14,1,0,0
MI,Robin Minz,WK,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,2,2,6,15,3,3.0,40.0,0.0,0.0,0,0,0,0
MI,Raj Angad Bawa,BAT,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,3,2,11,14,11,5.5,78.58,0.0,1.0,0,0,0,0
MI,Vignesh Puthur,BOWL,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,4,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
MI,Satyanarayana Raju,ALL,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,2,1,1,1,1,0.0,100.0,1.0,0.0,0,0,0,0
MI,Ashwani Kumar,BOWL,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
MI,Tilak Varma,BAT,25,24,749,483,120,49.93,155.08,9,61,43,3,2,0,43,42,1307,903,84,39.61,144.74,9.0,101.0,65,7,0,0
MI,KL Shrijith,WK,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
MI,Mujeeb-ur-Rahman,BOWL,49,14,54,44,21,9.0,122.73,8,6,3,0,0,0,20,7,12,15,10,4.0,80.0,4.0,2.0,0,0,0,0
MI,Ryan Rickelton,WK,13,13,263,195,76,20.23,134.88,0,18,16,1,0,0,5,5,108,72,62,27.0,150.0,1.0,14.0,5,1,0,0
MI,Arjun Tendulkar,BOWL,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,5,1,13,9,13,13.0,144.45,0.0,0.0,1,0,0,0
MI,Will Jacks,ALL,23,21,383,280,40,18.24,136.79,0,40,15,0,0,0,12,12,284,180,100,25.82,157.78,1.0,20.0,20,1,1,0
MI,Hardik Pandya,ALL,114,90,1812,1279,71,27.88,141.68,25,135,95,5,0,0,141,131,2606,1782,91,28.96,146.25,41.0,195.0,141,10,0,0
MI,Mitchell Santner,ALL,109,74,725,603,77,16.86,120.24,31,55,24,1,0,0,23,15,109,99,22,13.63,110.11,7.0,6.0,6,0,0,0
MI,Reece Topley,BOWL,35,10,17,20,9,8.5,85.0,8,1,0,0,0,0,5,1,3,6,3,0.0,50.0,1.0,0.0,0,0,0,0
MI,Corbin Bosch,ALL,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
MI,Jasprit Bumrah,BOWL,70,8,8,14,7,2.67,57.15,5,1,0,0,0,0,134,31,68,79,16,9.71,86.08,24.0,5.0,1,0,0,0
MI,Trent Boult,BOWL,61,15,58,64,16,8.29,90.63,8,3,2,0,0,0,108,29,85,81,17,9.44,104.94,20.0,5.0,3,0,0,0
MI,Suryakumar Yadav,BAT,83,79,2598,1555,117,38.21,167.08,11,237,146,21,4,0,155,140,3793,2605,103,32.7,145.61,24.0,405.0,138,25,2,0
MI,Deepak Chahar,BOWL,25,7,53,28,31,26.5,189.29,5,4,4,0,0,0,86,15,108,75,39,13.5,144.0,7.0,4.0,8,0,0,0
MI,Karn Sharma,BOWL,1,0,0,0,0,0.0,0.0,0,0,0,0,0,0,84,40,351,294,39,13.5,119.39,14.0,20.0,17,0,0,0
MI,Rohit Sharma,BAT,159,151,4231,3003,121,31.34,140.9,16,383,205,32,5,0,261,256,6666,5083,109,29.37,131.15,29.0,603.0,282,43,2,0
PBKS,Musheer Khan,ALL,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
PBKS,Harnoor Singh Pannu,BAT,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
PBKS,Pyla Avinash,BAT,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
PBKS,Suryansh Shedge,ALL,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,3,1,2,4,2,2.0,50.0,0.0,0.0,0,0,0,0
PBKS,Harpreet Brar,BOWL,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,41,24,233,190,29,21.18,122.64,13.0,19.0,9,0,0,0
PBKS,Priyansh Arya,BAT,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,4,4,158,75,103,39.5,210.67,0.0,15.0,11,0,1,0
PBKS,Kuldeep Sen,BOWL,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,12,1,0,3,0,0.0,0.0,1.0,0.0,0,0,0,0
PBKS,Marco Jansen,ALL,17,12,166,111,54,18.44,149.55,3,13,11,1,0,0,25,15,103,91,34,12.88,113.19,7.0,7.0,4,0,0,0
PBKS,Nehal Wadhera,BAT,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,23,19,464,323,64,27.29,143.66,2.0,39.0,26,3,0,0
PBKS,Prabhsimran Singh,WK,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,38,38,847,577,103,22.29,146.8,0.0,90.0,44,4,1,0
PBKS,Aaron Hardie,ALL,13,8,128,99,28,21.33,129.3,2,15,3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
PBKS,Arshdeep Singh,BOWL,63,21,71,61,12,8.88,116.4,13,6,3,0,0,0,69,13,30,45,10,5.0,66.67,7.0,4.0,0,0,0,0
PBKS,Azmatullah Omarzai,ALL,47,37,474,427,34,14.36,111.01,4,30,18,0,0,0,8,5,58,48,17,11.6,120.84,0.0,4.0,3,0,0,0
PBKS,Vishnu Vinod,WK,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,6,6,56,57,30,9.33,98.25,0.0,3.0,3,0,0,0
PBKS,Xavier Bartlett,BOWL,7,2,5,10,5,2.5,50.0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
PBKS,Shashank Singh,BAT,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,28,22,529,327,68,44.08,161.78,10.0,41.0,30,3,0,0
PBKS,Lockie Ferguson,BOWL,43,15,29,36,14,3.63,80.56,7,0,2,0,0,0,48,11,72,47,24,24.0,153.2,8.0,7.0,2,0,0,0
