Team,Player Name,Player Type,Bowling_T20_M,Bowling_T20_Inn,Bowling_T20_B,Bowling_T20_Runs,Bowling_T20_Wkts,Bowling_T20_Avg,Bowling_T20_Econ,Bowling_T20_SR,Bowling_T20_BBI,Bowling_T20_BBM,Bowling_T20_5w,Bowling_T20_10w,Bowling_IPL_M,Bowling_IPL_Inn,Bowling_IPL_B,Bowling_IPL_Runs,Bowling_IPL_Wkts,Bowling_IPL_Avg,Bowling_IPL_Econ,Bowling_IPL_SR,Bowling_IPL_BBI,Bowling_IPL_BBM,Bowling_IPL_5w,Bowling_IPL_10w
PBKS,Vishnu Vinod,WK,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,6,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0
PBKS,Xavier Bartlett,BOWL,7,7,142,162,11,14.73,6.85,12.91,3/13,3/13,0,0,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0
PBKS,Shashank Singh,BAT,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,28,3,18,25,1,25.0,8.33,18.0,1/5,1/5,0,0
PBKS,Lockie Ferguson,BOWL,43,43,919,1087,64,16.98,7.1,14.36,5/21,5/21,1,0,48,48,1021,1529,51,29.98,8.99,20.02,4/28,4/28,0,0
PBKS,Josh Inglis,WK,29,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0
PBKS,Vyshak Vijaykumar,BOWL,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,12,12,249,423,13,32.54,10.19,19.15,3/20,3/20,0,0
PBKS,Pravin Dubey,BOWL,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,4,4,66,91,1,91.0,8.27,66.0,1/19,1/19,0,0
PBKS,Yash Thakur,BOWL,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,20,20,428,730,25,29.2,10.23,17.12,5/30,5/30,1,0
PBKS,Shreyas Iyer,BAT,51,1,2,2,0,0.0,0.0,0.0,0/2,0/2,0,0,119,1,6,7,0,0.0,7.0,0.0,0/7,0/7,0,0
PBKS,Marcus Stoinis,ALL,74,48,750,1091,45,24.24,8.73,16.67,4/23,4/23,0,0,100,66,857,1378,43,32.05,9.65,19.93,4/15,4/15,0,0
PBKS,Yuzvendra Chahal,BOWL,80,79,1764,2409,96,25.09,8.19,18.38,6/25,6/25,1,0,164,163,3587,4713,206,22.88,7.88,17.41,5/40,5/40,1,0
PBKS,Glenn Maxwell,ALL,116,76,985,1321,43,30.72,8.05,22.91,3/10,3/10,0,0,138,83,992,1368,40,34.2,8.27,24.8,2/15,2/15,0,0
RCB,Abhinandan Singh,BOWL,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0
RCB,Swastik Chikara,BAT,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0
RCB,Mohit Rathee,ALL,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,1,1,12,29,0,0.0,14.5,0.0,0/29,0/29,0,0
RCB,Suyash Sharma,BOWL,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,17,17,354,508,12,42.33,8.61,29.5,3/30,3/30,0,0
