Player Name,Team,Credits,Player Type,FantasyPoints
Marco Jansen,PBKS,8.0,ALL,0.0
Aaron Hardie,PBKS,7.0,ALL,0.0
Azmatullah Omarzai,PBKS,7.5,ALL,145.0
Marcus Stoinis,PBKS,8.0,ALL,0.0
Glenn Maxwell,PBKS,8.5,ALL,0.0
Aiden Markram,LSG,8.0,ALL,0.0
Shahbaz Ahmed,LSG,7.0,ALL,693.5
Shahbaz Ahmed,LSG,7.0,ALL,518.5
Shahbaz Ahmed,LSG,7.0,ALL,581.5
Shahbaz Ahmed,LSG,7.0,ALL,406.5
Arshin Kulkarni,LSG,6.0,ALL,0.0
Yuvraj Chaudhary,LSG,5.0,ALL,0.0
Prabhsimran Singh,PBKS,7.5,WK,0.0
Vishnu Vinod,PBKS,6.5,WK,40.0
Vishnu Vinod,PBKS,6.5,WK,20.5
Josh Inglis,PBKS,7.5,WK,0.0
Rishabh Pant,LSG,8.5,WK,0.0
Nicholas Pooran,LSG,9.0,WK,0.0
Aryan Juyal,LSG,5.5,WK,0.0
Harnoor Singh Pannu,PBKS,5.0,BAT,0.0
Pyla Avinash,PBKS,5.5,BAT,0.0
Priyansh Arya,PBKS,6.5,BAT,0.0
Nehal Wadhera,PBKS,7.5,BAT,0.0
Shashank Singh,PBKS,7.5,BAT,414.0
Shashank Singh,PBKS,7.5,BAT,389.0
Shashank Singh,PBKS,7.5,BAT,100.5
Shashank Singh,PBKS,7.5,BAT,75.5
Shreyas Iyer,PBKS,8.5,BAT,0.0
David Miller,LSG,8.0,BAT,0.0
Mitchell Marsh,LSG,8.5,BAT,0.0
Ayush Badoni,LSG,7.0,BAT,0.0
Abdul Samad,LSG,6.5,BAT,683.5
Abdul Samad,LSG,6.5,BAT,683.5
Abdul Samad,LSG,6.5,BAT,683.5
Matthew Breetzke,LSG,6.5,BAT,0.0
Himmat Singh,LSG,5.5,BAT,0.0
Harpreet Brar,PBKS,6.5,BOWL,22.0
Harpreet Brar,PBKS,6.5,BOWL,647.0
Harpreet Brar,PBKS,6.5,BOWL,229.5
Harpreet Brar,PBKS,6.5,BOWL,854.5
Kuldeep Sen,PBKS,6.0,BOWL,0.0
Arshdeep Singh,PBKS,8.5,BOWL,350.0
Arshdeep Singh,PBKS,8.5,BOWL,1750.0
Arshdeep Singh,PBKS,8.5,BOWL,381.0
Arshdeep Singh,PBKS,8.5,BOWL,1781.0
Xavier Bartlett,PBKS,6.5,BOWL,0.0
Lockie Ferguson,PBKS,7.5,BOWL,0.0
Vyshak Vijaykumar,PBKS,7.0,BOWL,0.0
Pravin Dubey,PBKS,6.0,BOWL,0.0
Yash Thakur,PBKS,6.5,BOWL,675.0
Yuzvendra Chahal,PBKS,8.5,BOWL,0.0
Ravi Bishnoi,LSG,8.0,BOWL,357.5
Ravi Bishnoi,LSG,8.0,BOWL,1032.5
Ravi Bishnoi,LSG,8.0,BOWL,332.5
Ravi Bishnoi,LSG,8.0,BOWL,374.5
Ravi Bishnoi,LSG,8.0,BOWL,1049.5
Ravi Bishnoi,LSG,8.0,BOWL,349.5
Ravi Bishnoi,LSG,8.0,BOWL,351.0
Ravi Bishnoi,LSG,8.0,BOWL,1026.0
Ravi Bishnoi,LSG,8.0,BOWL,326.0
Avesh Khan,LSG,8.0,BOWL,685.0
Avesh Khan,LSG,8.0,BOWL,110.0
Avesh Khan,LSG,8.0,BOWL,685.0
Avesh Khan,LSG,8.0,BOWL,560.0
Avesh Khan,LSG,8.0,BOWL,35.0
Avesh Khan,LSG,8.0,BOWL,700.0
Avesh Khan,LSG,8.0,BOWL,125.0
Avesh Khan,LSG,8.0,BOWL,700.0
Avesh Khan,LSG,8.0,BOWL,575.0
Avesh Khan,LSG,8.0,BOWL,50.0
Avesh Khan,LSG,8.0,BOWL,685.5
Avesh Khan,LSG,8.0,BOWL,110.5
Avesh Khan,LSG,8.0,BOWL,685.5
Avesh Khan,LSG,8.0,BOWL,560.5
Avesh Khan,LSG,8.0,BOWL,35.5
Mayank Yadav,LSG,7.0,BOWL,0.0
Akash Deep,LSG,7.0,BOWL,194.0
Akash Deep,LSG,7.0,BOWL,44.0
Akash Deep,LSG,7.0,BOWL,177.0
Akash Deep,LSG,7.0,BOWL,27.0
Shardul Thakur,LSG,7.5,BOWL,0.0
Shamar Joseph,LSG,6.5,BOWL,0.0
Akash Singh,LSG,6.0,BOWL,125.0
Akash Singh,LSG,6.0,BOWL,0.0
Manimaran Siddharth,LSG,6.0,BOWL,0.0
Prince Yadav,LSG,6.0,BOWL,0.0
Rajvardhan Hangargekar,LSG,5.5,BOWL,0.0
Digvesh Singh,LSG,6.0,BOWL,0.0
Mohit Rathee,RCB,6.0,ALL,1.0
Manoj Bhandage,RCB,6.5,ALL,0.0
Romario Shepherd,RCB,7.0,ALL,0.0
Krunal Pandya,RCB,7.5,ALL,0.0
Liam Livingstone,RCB,8.0,ALL,0.0
Swapnil Singh,RCB,7.0,ALL,37.0
Swapnil Singh,RCB,7.0,ALL,12.0
Swapnil Singh,RCB,7.0,ALL,162.0
Swapnil Singh,RCB,7.0,ALL,27.0
Swapnil Singh,RCB,7.0,ALL,2.0
Swapnil Singh,RCB,7.0,ALL,152.0
Swapnil Singh,RCB,7.0,ALL,66.5
Swapnil Singh,RCB,7.0,ALL,41.5
Swapnil Singh,RCB,7.0,ALL,191.5
Shahrukh Khan,GT,7.5,ALL,0.0
Washington Sundar,GT,7.0,ALL,234.0
Washington Sundar,GT,7.0,ALL,509.0
Washington Sundar,GT,7.0,ALL,259.0
Washington Sundar,GT,7.0,ALL,447.5
Washington Sundar,GT,7.0,ALL,722.5
Washington Sundar,GT,7.0,ALL,472.5
Washington Sundar,GT,7.0,ALL,396.5
Washington Sundar,GT,7.0,ALL,671.5
Washington Sundar,GT,7.0,ALL,421.5
Rahul Tewatia,GT,7.0,ALL,0.0
Nishant Sindhu,GT,6.0,ALL,0.0
Arshad Khan,GT,6.0,ALL,110.5
Arshad Khan,GT,6.0,ALL,210.5
Arshad Khan,GT,6.0,ALL,44.0
Arshad Khan,GT,6.0,ALL,144.0
Manav Suthar,GT,6.0,ALL,0.0
Karim Janat,GT,6.0,ALL,0.0
Jitesh Sharma,RCB,7.5,WK,0.0
Philip Salt,RCB,8.5,WK,0.0
Jos Buttler,GT,9.0,WK,0.0
Anuj Rawat,GT,6.5,WK,0.0
Anuj Rawat,GT,6.5,WK,239.0
Anuj Rawat,GT,6.5,WK,106.0
Kumar Kushagra,GT,5.5,WK,3.0
Swastik Chikara,RCB,5.5,BAT,0.0
Jacob Bethell,RCB,7.0,BAT,0.0
Tim David,RCB,7.5,BAT,0.0
Devdutt Padikkal,RCB,7.0,BAT,0.0
Rajat Patidar,RCB,8.0,BAT,0.0
Virat Kohli,RCB,9.0,BAT,0.0
Shubman Gill,GT,9.0,BAT,1944.5
Shubman Gill,GT,9.0,BAT,1944.5
Shubman Gill,GT,9.0,BAT,1521.5
Shubman Gill,GT,9.0,BAT,1521.5
Sai Sudharsan,GT,8.5,BAT,0.0
Glenn Phillips,GT,7.5,BAT,0.0
Sherfane Rutherford,GT,7.5,BAT,0.0
Mahipal Lomror,GT,6.5,BAT,0.0
Abhinandan Singh,RCB,5.0,BOWL,0.0
Suyash Sharma,RCB,6.0,BOWL,275.0
Suyash Sharma,RCB,6.0,BOWL,25.0
Rasikh Salam,RCB,6.5,BOWL,255.0
